,Date,Clients Buy,Clients Sales,Client Net,NRI Buy,NRI Sales,NRI Net,Proprietary Buy,Proprietary Sales,Proprietary Net,DII Buy,DII Sales,DII Net,Open,High,Low,Close,Text,SA
0,03-01-2011,2411.2,2426.86,-15.66,0.56,3,-2.43,711.44,692.52,18.92,1044.56,1168.57,-124.01,20621.61,20664.8,20531,20561.05,Netural,0
1,04-01-2011,2769.67,2716.03,53.64,1.46,1.66,-0.2,802.97,780.49,22.48,1474.07,1965.64,-491.56,20617.38,20651.21,20449.01,20498.72,Netural,0
2,05-01-2011,2474.12,2419.08,55.04,3.58,1.32,2.25,635.07,658.69,-23.62,1349.98,1451.73,-101.74,20509.95,20509.95,20243.95,20301.1,Netural,0
3,06-01-2011,2259.74,2169.1,90.64,0.79,1.48,-0.69,665.72,663.58,2.15,1240.16,1578.21,-338.05,20395.5,20425.85,20107.17,20184.74,Netural,0
4,07-01-2011,2464.03,2430.18,33.85,2.03,1.28,0.75,648.66,714.24,-65.58,2179.56,1063.73,1115.83,20163.85,20210.62,19629.22,19691.81,Netural,0
5,10-01-2011,2306.94,2378.9,-71.96,2.15,8.26,-6.11,667.51,727.96,-60.45,1729.36,710.82,1018.55,19714.42,19720.43,19158.43,19224.12,Netural,0
6,11-01-2011,2250.44,2296.07,-45.62,1.18,0.34,0.84,701.36,715.61,-14.25,1854.65,790.47,1064.18,19279.77,19431.56,19003.6,19196.34,Netural,0
7,12-01-2011,2644.17,2672.72,-28.55,0.85,0.37,0.49,916.43,887.41,29.01,1495.93,1136.72,359.21,19353.34,19574.63,19048.56,19534.1,Netural,0
8,13-01-2011,2288.7,2284.4,4.3,1.31,0.17,1.14,699.03,740.46,-41.43,1405.47,1163.05,242.43,19492.3,19522.38,19136.27,19182.82,Netural,0
9,14-01-2011,2187.74,2098.91,88.84,1.54,0.28,1.26,618.47,630.83,-12.36,1381.9,1091.79,290.11,19198.04,19447.82,18811.96,18860.44,StockViz  Track Stock Price Changes on BSE and NSE by using Heat      StockViz is a free stock price change trac  forex forextrading StockViz  Track Stock Price Changes on BSE and NSE by using Heat  FOREX trading StockViz  Track Stock Price Changes on BSE and NSE by using Heat StockViz is a free ,0.765
10,17-01-2011,1981.41,2018.28,-36.87,0.96,0.98,-0.02,669.04,676.34,-7.3,1067.54,707.72,359.82,18911.43,19018.94,18779.38,18882.25,Steel Authority of India Weakness extends  priced in the stock price   Prabhudas Lilladher  Steel Authority of India Weakness extends  priced in the stock price   Prabhudas Lilladher  ,-0.4588
11,18-01-2011,1965.3,2058.22,-92.93,1.26,0.35,0.91,590.22,554.58,35.64,1149.84,1176.04,-26.2,18983.2,19120.62,18933.47,19092.05,Netural,0
12,19-01-2011,2243.87,2314.79,-70.92,0.77,0.77,0,654.36,699.01,-44.65,1540.76,1052.23,488.53,19153.31,19167.06,18898.56,18978.32,Netural,0
13,20-01-2011,2321.8,2300.29,21.51,0.79,1.77,-0.98,684.79,649.65,35.14,1432.83,1176.51,256.32,18892.43,19100.26,18794.73,19046.54,Netural,0
14,21-01-2011,2117.2,2127.48,-10.28,0.7,0.26,0.44,575.41,592.25,-16.84,1061.92,838.78,223.14,19007.08,19065.34,18932.4,19007.53,Netural,0
15,24-01-2011,2040.65,1986.92,53.73,0.74,0.73,0.01,542.06,538.17,3.88,1474.93,1238.42,236.52,19095.69,19194.46,18998.38,19151.28,Netural,0
16,25-01-2011,2347.58,2352.33,-4.75,0.62,0.52,0.09,639.38,667.97,-28.59,1134.09,1303.77,-169.68,19227.42,19340.99,18949.44,18969.45,Netural,0
17,27-01-2011,2340.85,2243.45,97.4,1.92,0.24,1.68,622.91,639.51,-16.6,1325.11,1580.7,-255.59,19086.69,19086.69,18656.05,18684.43,Netural,0
18,28-01-2011,2483.65,2422.81,60.85,1.55,2.44,-0.88,729.73,731.99,-2.26,1769.19,1687.95,81.24,18708.62,18723.12,18235.45,18395.97,Buy Lanco Infratech Buy Stock price weakness looks unjustified  Deutsche Bank Buy Lanco Infratech Buy Stock price weakness looks unjustified  Deutsche Bank,-0.6808
19,31-01-2011,2382.91,2433.09,-50.18,1.01,0.66,0.35,718.23,714.43,3.8,2064.48,1056.34,1008.14,18226.21,18395.09,18038.48,18327.76,Netural,0
20,01-02-2011,2284.46,2236.39,48.07,1.32,1.81,-0.49,700.36,742.86,-42.5,1779.34,1148.94,630.41,18425.18,18452.06,17982.17,18022.22,,
21,02-02-2011,2162.15,2405.53,-243.38,1.18,0.51,0.67,704.73,685.33,19.4,1958.92,1278.54,680.39,18216.91,18306,18042.61,18090.62,Netural,0
22,03-02-2011,2160.65,2549.27,-388.62,1.68,0.59,1.09,665.86,627.26,38.6,1155.2,1200.65,-45.44,18113.73,18466.21,18064.61,18449.31,Netural,0
23,04-02-2011,2506.03,2501.81,4.22,1.24,0.33,0.91,703.67,770.31,-66.64,1621.58,1384.13,237.45,18450.07,18542.2,17926.98,18008.15,Netural,0
24,07-02-2011,1852.54,1827.44,25.1,0.78,0.25,0.53,557.88,555.94,1.93,865.46,877.86,-12.41,18135.02,18180.94,17977.01,18037.19,Netural,0
25,08-02-2011,1885.26,1875.25,10.01,1.16,0.33,0.83,520.26,554.84,-34.58,1318.56,869.59,448.97,18141.51,18141.51,17742.18,17775.7,Netural,0
26,09-02-2011,2510.38,2512,-1.62,1.1,0.48,0.62,828.41,852.12,-23.72,1385.4,1270.4,115,17723.99,17864.32,17508.35,17592.77,Titan  Will the stock price double in   years  ,0
27,10-02-2011,2354.34,2368.32,-13.98,1.1,0.4,0.7,821.99,837.17,-15.18,1660.73,1023.43,637.3,17603.29,17636.88,17362.59,17463.04,Netural,0
28,11-02-2011,2257.03,2274.02,-16.99,1.38,0.32,1.06,738.68,728.82,9.86,1343.41,823.74,519.67,17519.13,17752.56,17295.62,17728.61,Netural,0
29,14-02-2011,2424.2,2335.16,89.04,1.19,0.46,0.73,697.28,694.36,2.92,989.01,879.99,109.02,17940.16,18227.62,17857.12,18202.2,Netural,0
30,15-02-2011,2655.39,2682.99,-27.61,2.01,1.39,0.63,746.65,751.45,-4.8,881.3,1049.15,-167.85,18260.08,18361.66,18050.48,18273.8,Netural,0
31,16-02-2011,2218.67,2212.66,6.01,2.04,0.41,1.64,620.86,620.15,0.7,578.83,647.32,-68.49,18273.06,18358.84,18216.12,18300.9,forex trading Thank William Shatner As Priceline s Stock Price Negotiates A Five Year High,0.3612
32,17-02-2011,2349.14,2416.31,-67.17,0.74,1.3,-0.56,616.41,608.19,8.22,1153.73,909.33,244.41,18345.12,18532.61,18233.79,18506.82,Netural,0
33,18-02-2011,2600.31,2574.24,26.06,0.97,0.6,0.37,702.47,734.32,-31.86,1266.67,1455.81,-189.14,18564.08,18690.97,18159.82,18211.52,Netural,0
34,21-02-2011,1952.99,1944.66,8.33,0.34,0.34,0,584.78,546.33,38.45,800.36,827.97,-27.61,18238.54,18457.49,18082.66,18438.31,Netural,0
35,22-02-2011,2284.73,2285.54,-0.81,0.52,0.5,0.02,658.69,682.68,-23.98,1139.68,725.69,413.98,18390.72,18457.9,18187.33,18296.16,Netural,0
36,23-02-2011,2092.49,2079.2,13.29,0.58,0.4,0.18,627.19,642.65,-15.46,1086.38,733.56,352.82,18233.77,18377.48,18150.01,18178.33,Netural,0
37,24-02-2011,2427.53,2288.51,139.02,1.32,0.21,1.11,711.57,757.63,-46.07,2652.35,1622.43,1029.92,18135.12,18135.12,17559.7,17632.41,Netural,0
38,25-02-2011,2236.75,2287.86,-51.11,1.38,0.81,0.57,786.7,785.13,1.57,1345.28,789.99,555.29,17775.08,17812.44,17469.97,17700.91,Netural,0
39,28-02-2011,2525.13,2590.61,-65.49,1.32,0.69,0.63,928.77,916.68,12.1,1860.24,1542.86,317.39,17811.08,18296.53,17718.88,17823.4,Netural,0
40,01-03-2011,2208.06,2384.14,-176.08,0.91,1,-0.1,763.2,675.71,87.48,1438.85,1343.21,95.64,17982.28,18478.68,17964.39,18446.5,,
41,03-03-2011,2509.04,2569.49,-60.45,0.66,0.9,-0.24,837.84,837.58,0.26,1157.54,1062.02,95.52,18318.32,18603.57,18253.62,18489.76,Getting BSE Stock Price by Market Data API,0
42,04-03-2011,2179.86,2184.88,-5.02,2.44,1.07,1.37,612.21,616.57,-4.36,975.57,1205.35,-229.78,18622.7,18736.97,18448.69,18486.45,Netural,0
43,07-03-2011,1732.78,1706.32,26.46,0.91,1.24,-0.34,485.16,467.19,17.97,697.02,651.45,45.57,18361.65,18361.65,18058.71,18222.67,Clarity on upstream subsidy shares will help  overhang of the FPO may constrain ONGC stock price     stocks bse nse Clarity on upstream subsidy shares will help  overhang of the FPO may constrain ONGC stock price   ,0.9217
44,08-03-2011,1916.79,1951.1,-34.31,0.94,0.95,-0.02,526.66,499.19,27.47,728.41,868.87,-140.46,18277.34,18466.81,18266.62,18439.65,Netural,0
45,09-03-2011,2445.61,2512.44,-66.83,0.95,1.06,-0.11,704.24,693.23,11.01,1022.75,909.76,112.98,18522.8,18583.3,18303.8,18469.95,Netural,0
46,10-03-2011,2131.87,2126.75,5.12,0.47,0.21,0.27,644.21,631.97,12.24,743.14,634.16,108.98,18430.84,18430.84,18261.26,18327.98,Hot News  Surprise  BSE  NSE kiss and make up  Stock price feeds coming from the BSE and NSE will be available on a  What s driving the new found love between BSE and NSE  Under this agreement  stock price feeds coming from the B ,0.9161
47,11-03-2011,2815.75,2807.14,8.61,1.4,0.27,1.14,767.74,762.71,5.02,1186.2,1073.96,112.24,18248.11,18368.43,18063.29,18174.09,Netural,0
48,14-03-2011,2121.08,2188.43,-67.35,0.37,0.88,-0.51,578.14,548.25,29.9,778.05,770.4,7.65,18167.1,18463.84,18155.43,18439.48,Netural,0
49,15-03-2011,2574.99,2594.99,-20,0.36,0.63,-0.27,753.12,815.41,-62.3,1247.79,680.69,567.1,18113.79,18326.33,17920.55,18167.64,Netural,0
50,16-03-2011,2366.77,2473.02,-106.26,1.16,0.6,0.56,647.27,623.45,23.83,1153.03,826.31,326.72,18263.68,18444.47,18263.68,18358.69,Netural,0
51,17-03-2011,2217.78,2182.5,35.29,0.9,0.35,0.55,601.72,599.9,1.82,1044.93,612.86,432.07,18227.16,18354.27,18104.02,18149.87,India Bse Stock Price  The oldest stock exchange of Asia  the BSE SENSEX  also known as BSE    ,0
52,18-03-2011,2036.25,1998,38.25,1.72,1.7,0.02,559.88,573.03,-13.15,1142.2,845.9,296.3,18251.18,18259.61,17849.53,17878.81,Netural,0
53,21-03-2011,2344.97,2365.27,-20.31,0.66,0.72,-0.07,488.86,481.29,7.57,782.26,734.28,47.98,17984.72,18007.73,17792.17,17839.05,Netural,0
54,22-03-2011,2104.79,2145.55,-40.75,0.73,0.42,0.32,545.69,520.75,24.94,844.44,748.4,96.04,17929.09,18041.38,17878.8,17988.3,Netural,0
55,23-03-2011,2978.42,3380.08,-401.66,0.3,0.53,-0.23,656.75,605.31,51.44,2042.81,931.13,1111.68,17972.04,18218.28,17950.17,18206.16,Netural,0
56,24-03-2011,2575.78,2780.87,-205.09,0.66,1.03,-0.37,593.75,578.39,15.36,1451.34,1073.22,378.12,18286.42,18373.97,18269.32,18350.74,Netural,0
57,25-03-2011,2258.42,2474.93,-216.51,1.09,0.69,0.4,596.03,523.12,72.92,1298.97,1612.74,-313.77,18480.69,18858.3,18480.69,18815.64,Netural,0
