Date,Text,SA
09-01-2011,India Bse Stock Price India Bse Stock Price  Indian Stock Market Picks and Tips in Shares of India  Day Trade for Living with,0.296
10-01-2011,India Bse Stock Price ,0
11-01-2011,Historical Daily Stock Prices in Indian Share Markests BSE NSE  Foreign Stock Quotes India Bse Stock Price  India,0.296
12-01-2011,Netural,0
13-01-2011,Netural,0
14-01-2011,StockViz  Track Stock Price Changes on BSE and NSE by using Heat      StockViz is a free stock price change trac  forex forextrading StockViz  Track Stock Price Changes on BSE and NSE by using Heat  FOREX trading StockViz  Track Stock Price Changes on BSE and NSE by using Heat StockViz is a free ,0.765
15-01-2011,StockViz  Track Stock Price Changes on BSE and NSE by using Heat    ,0
16-01-2011,Netural,0
17-01-2011,Steel Authority of India Weakness extends  priced in the stock price   Prabhudas Lilladher  Steel Authority of India Weakness extends  priced in the stock price   Prabhudas Lilladher  ,-0.4588
18-01-2011,Netural,0
19-01-2011,Netural,0
20-01-2011,Netural,0
21-01-2011,Netural,0
22-01-2011,Netural,0
23-01-2011,Netural,0
24-01-2011,Netural,0
25-01-2011,Netural,0
26-01-2011,Netural,0
27-01-2011,Netural,0
28-01-2011,Buy Lanco Infratech Buy Stock price weakness looks unjustified  Deutsche Bank Buy Lanco Infratech Buy Stock price weakness looks unjustified  Deutsche Bank,-0.6808
29-01-2011,Netural,0
30-01-2011,Netural,0
31-01-2011,Netural,0
01-02-2011,Credit Suisse  Buy Crompton Greaves   Comforting guidance to aid stock price recovery   Credit Suisse  Buy Crompton Greaves   Comforting guidance to aid stock price recovery ,0.8625
02-02-2011,Netural,0
03-02-2011,Netural,0
04-02-2011,Netural,0
05-02-2011,Netural,0
06-02-2011,Netural,0
07-02-2011,Netural,0
08-02-2011,Netural,0
09-02-2011,Netural,0
10-02-2011,Netural,0
11-02-2011,Netural,0
12-02-2011,Netural,0
13-02-2011,Netural,0
14-02-2011,Netural,0
15-02-2011,Netural,0
16-02-2011,forex trading Thank William Shatner As Priceline s Stock Price Negotiates A Five Year High,0.3612
17-02-2011,Netural,0
18-02-2011,Netural,0
19-02-2011,Netural,0
20-02-2011,Netural,0
21-02-2011,Netural,0
22-02-2011,Netural,0
23-02-2011,Netural,0
24-02-2011,Netural,0
25-02-2011,Netural,0
26-02-2011,UBS   Sun TV Limited  Stock price unlikely to re rate in near term UBS   Sun TV Limited  Stock price unlikely to re rate in near term ,-0.4215
27-02-2011,Netural,0
28-02-2011,Netural,0
01-03-2011,Netural,0
02-03-2011,Netural,0
03-03-2011,Getting BSE Stock Price by Market Data API,0
04-03-2011,Netural,0
05-03-2011,Netural,0
06-03-2011,Netural,0
07-03-2011,Netural,0
08-03-2011,Netural,0
09-03-2011,JP Morgan cuts airlines  stock price targets  stocks ,0.0857
10-03-2011,Netural,0
11-03-2011,Netural,0
12-03-2011,Netural,0
13-03-2011,Netural,0
14-03-2011,Netural,0
15-03-2011,Netural,0
16-03-2011,Netural,0
17-03-2011,India Bse Stock Price  The oldest stock exchange of Asia  the BSE SENSEX  also known as BSE    ,0
18-03-2011,Netural,0
19-03-2011,Netural,0
20-03-2011,Netural,0
21-03-2011,Netural,0
22-03-2011,Netural,0
23-03-2011,Netural,0
24-03-2011,Netural,0
25-03-2011,Netural,0
26-03-2011,Netural,0
27-03-2011,Netural,0
28-03-2011,Netural,0
29-03-2011,Netural,0
30-03-2011,Netural,0
31-03-2011,Netural,0
01-04-2011,Netural,0
02-04-2011,Netural,0
03-04-2011,Netural,0
04-04-2011,Netural,0
05-04-2011,Netural,0
06-04-2011,Netural,0
07-04-2011,Maruti Suziki shares down over products recall  The stock price of Maruti Suziki falls by around     pc on BSE and was trading at Rs    ,0.296
08-04-2011,Using Python to get the BSE Stock Price,0
09-04-2011,Netural,0
10-04-2011,Netural,0
11-04-2011,Netural,0
12-04-2011,Netural,0
13-04-2011,Netural,0
14-04-2011,NDTV BSE stock price has tanked        since April last year  Was Rs         in April       Is Rs        in April      ,0
15-04-2011,Netural,0
16-04-2011,Netural,0
17-04-2011,Netural,0
18-04-2011,Infosys stock price target cut  ratings unchanged ,-0.2732
19-04-2011,Netural,0
20-04-2011,Netural,0
21-04-2011,Netural,0
22-04-2011,Netural,0
23-04-2011,Netural,0
24-04-2011,Netural,0
25-04-2011,Netural,0
26-04-2011,Netural,0
27-04-2011,Netural,0
28-04-2011,Netural,0
29-04-2011,Netural,0
30-04-2011,Netural,0
01-05-2011,Netural,0
02-05-2011,Netural,0
03-05-2011,Netural,0
04-05-2011,Netural,0
05-05-2011,Netural,0
06-05-2011,Netural,0
07-05-2011,Netural,0
08-05-2011,Netural,0
09-05-2011,Netural,0
10-05-2011,Netural,0
11-05-2011,Ranbaxy Laboratories   Q Beat  But Stock Price is Levered to FDA Action   OW    Morgan Stanley  Ranbaxy Laboratories   Q Beat  But Stock Price is Levered to FDA Action   OW    Morgan Stanley ,0
12-05-2011,Netural,0
13-05-2011,Netural,0
14-05-2011,Netural,0
15-05-2011,Netural,0
16-05-2011,Netural,0
17-05-2011,Netural,0
18-05-2011,Netural,0
19-05-2011,BSE Stock Prices Get the BSE Live Stock Price widget Welcome to    ,0.4588
20-05-2011,Netural,0
21-05-2011,Netural,0
22-05-2011,Netural,0
23-05-2011,Netural,0
24-05-2011,Netural,0
25-05-2011,Netural,0
26-05-2011,Netural,0
27-05-2011,Netural,0
28-05-2011,Netural,0
29-05-2011,BSE sensex software stock price online live charts graphs rates free tips trial quotes bombay stock exchange BSE sens ,0.5106
30-05-2011,Netural,0
31-05-2011,Netural,0
01-06-2011,Netural,0
02-06-2011,Netural,0
03-06-2011,Netural,0
04-06-2011,Netural,0
05-06-2011,Netural,0
06-06-2011,Netural,0
07-06-2011,Netural,0
08-06-2011,Netural,0
09-06-2011,Netural,0
10-06-2011,Stock Price of  Lovable Lingerie  on Bse is up by      Now no price for guessing what are people wearing      ,0.4215
11-06-2011,Netural,0
12-06-2011,Netural,0
13-06-2011,Netural,0
14-06-2011,Netural,0
15-06-2011,Netural,0
16-06-2011,Netural,0
17-06-2011,BSE AUTO Stock Price  BSE Market Indices  BSE Auto Price  Stock    ,0
18-06-2011,Netural,0
19-06-2011,Netural,0
20-06-2011,Netural,0
21-06-2011,Netural,0
22-06-2011,Netural,0
23-06-2011,Netural,0
